nom,id,nom,match,"﻿""mcode""",population,établissements,eta per capita,habitant par éta
Saint-Joseph-de-Coleraine,3608055329,saintjosephdecoleraine,Saint-Joseph-de-Coleraine,31045,1811,2,"0,00110436223081171","905,5"
Sainte-Marcelline-de-Kildare,3607707054,saintemarcellinedekildare,Sainte-Marcelline-de-Kildare,62030,1813,2,"0,00110314396028682","906,5"
Saint-Henri-de-Taillon,3608374474,sainthenridetaillon,Saint-Henri-de-Taillon,93070,907,1,"0,00110253583241455",907
Kirkland,3600197577,kirkland,Kirkland,66102,20046,22,"0,00109747580564701","911,181818181818"
Drummondville,3607932209,drummondville,Drummondville,49058,81551,89,"0,00109134161444985","916,303370786517"
Harrington,3607697275,harrington,Harrington,76065,925,1,"0,00108108108108108",925
Taschereau,3607360198,taschereau,Taschereau,87042,926,1,"0,00107991360691145",926
Mont-Royal,3600197567,montroyal,Mont-Royal,66072,21439,23,"0,00107281123186716","932,130434782609"
Stratford,3608064430,stratford,Stratford,30110,933,1,"0,00107181136120043",933
Saint-Pierre-de-Broughton,3608055325,saintpierredebroughton,Saint-Pierre-de-Broughton,31135,940,1,"0,00106382978723404",940
Saint-Élie-de-Caxton,3607711422,sainteliedecaxton,Saint-Élie-de-Caxton,51075,1881,2,"0,00106326422115896","940,5"
Bromont,3607926995,bromont,Bromont,46078,12230,13,"0,00106295993458708","940,769230769231"
Saint-Isidore,3607785154,saintisidore,Saint-Isidore,67040,2834,3,"0,00105857445306987","944,666666666667"
Saint-Isidore,3608180114,saintisidore,Saint-Isidore,67040,2834,3,"0,00105857445306987","944,666666666667"
La Prairie,3607785149,laprairie,La Prairie,67015,26460,28,"0,00105820105820106",945
Saint-Clet,3607696244,saintclet,Saint-Clet,71045,1898,2,"0,00105374077976818",949
Les Méchins,3607998291,lesmechins,Les Méchins,8005,952,1,"0,00105042016806723",952
Rivière-Ouelle,3608120206,riviereouelle,Rivière-Ouelle,14065,956,1,"0,00104602510460251",956
Terrebonne,3607704070,terrebonne,Terrebonne,64008,117664,123,"0,00104534946967637","956,617886178862"
Sainte-Perpétue,3608042772,sainteperpetue,Sainte-Perpétue,50050,970,1,"0,00103092783505155",970
Sainte-Perpétue,3608201832,sainteperpetue,Sainte-Perpétue,50050,970,1,"0,00103092783505155",970
Lac-Supérieur,3607362415,lacsuperieur,Lac-Supérieur,78095,1942,2,"0,00102986611740474",971
Danville,3607997183,danville,Danville,40047,3884,4,"0,00102986611740474",971
Notre-Dame-de-la-Merci,3607707057,notredamedelamerci,Notre-Dame-de-la-Merci,62055,973,1,"0,00102774922918808",973
Saint-Eustache,3607699988,sainteustache,Saint-Eustache,72005,45978,47,"0,00102222802209753","978,255319148936"
Acton Vale,3607932244,actonvale,Acton Vale,48028,7833,8,"0,0010213200561726","979,125"
Saint-René-de-Matane,3607998294,saintrenedematane,Saint-René-de-Matane,8035,985,1,"0,00101522842639594",985
Kingsey Falls,3607997270,kingseyfalls,Kingsey Falls,39097,1976,2,"0,00101214574898785",988
Lac-Simon,3607362049,lacsimon,Lac-Simon,80095,991,1,"0,00100908173562059",991
Lac-Simon,3607526846,lacsimon,Lac-Simon,80095,991,1,"0,00100908173562059",991
Saint-Marc-des-Carrières,3608277356,saintmarcdescarrieres,Saint-Marc-des-Carrières,34065,2999,3,"0,00100033344448149","999,666666666667"
Notre-Dame-des-Bois,3608064427,notredamedesbois,Notre-Dame-des-Bois,30010,1000,1,"0,001",1000
Charette,3607711423,charette,Charette,51080,1013,1,"0,000987166831194472",1013
