nom,id,nom,match,"﻿""mcode"""
Saint-Donat,3607707055,saintdonat,Saint-Donat,62060
Chertsey,3607707056,chertsey,Chertsey,62047
Notre-Dame-de-la-Merci,3607707057,notredamedelamerci,Notre-Dame-de-la-Merci,62055
Entrelacs,3607707058,entrelacs,Entrelacs,62053
Rawdon,3607707059,rawdon,Rawdon,62037
Mandeville,3607710956,mandeville,Mandeville,52095
Saint-Gabriel-de-Brandon,3607710957,saintgabrieldebrandon,Saint-Gabriel-de-Brandon,52085
Saint-Gabriel,3607710958,saintgabriel,Saint-Gabriel,52080
Saint-Didace,3607710959,saintdidace,Saint-Didace,52090
Saint-Barthélemy,3607710960,saintbarthelemy,Saint-Barthélemy,52055
Saint-Cuthbert,3607710961,saintcuthbert,Saint-Cuthbert,52062
Saint-Ignace-de-Loyola,3607710962,saintignacedeloyola,Saint-Ignace-de-Loyola,52045
La Visitation-de-l'Île-Dupas,3607710963,lavisitationdeliledupas,La Visitation-de-l'Île-Dupas,52050
Saint-Cléophas-de-Brandon,3607710964,saintcleophasdebrandon,Saint-Cléophas-de-Brandon,52075
Saint-Norbert,3607710965,saintnorbert,Saint-Norbert,52070
Sainte-Élisabeth,3607710966,sainteelisabeth,Sainte-Élisabeth,52030
Sainte-Geneviève-de-Berthier,3607710967,saintegenevievedeberthier,Sainte-Geneviève-de-Berthier,52040
Berthierville,3607710968,berthierville,Berthierville,52035
Lanoraie,3607710969,lanoraie,Lanoraie,52017
Lavaltrie,3607710970,lavaltrie,Lavaltrie,52007
Saint-Alexis-des-Monts,3607711418,saintalexisdesmonts,Saint-Alexis-des-Monts,51065
Saint-Mathieu-du-Parc,3607711419,saintmathieuduparc,Saint-Mathieu-du-Parc,51070
Saint-Boniface,3607711420,saintboniface,Saint-Boniface,51085
Saint-Étienne-des-Grès,3607711421,saintetiennedesgres,Saint-Étienne-des-Grès,51090
Saint-Élie-de-Caxton,3607711422,sainteliedecaxton,Saint-Élie-de-Caxton,51075
Charette,3607711423,charette,Charette,51080
Saint-Barnabé,3607711424,saintbarnabe,Saint-Barnabé,51025
Saint-Paulin,3607711425,saintpaulin,Saint-Paulin,51060
Saint-Sévère,3607711426,saintsevere,Saint-Sévère,51030
Yamachiche,3607711428,yamachiche,Yamachiche,51020
Sainte-Angèle-de-Prémont,3607711431,sainteangeledepremont,Sainte-Angèle-de-Prémont,51055
Saint-Léon-le-Grand,3607711432,saintleonlegrand,Saint-Léon-le-Grand,7030
Sainte-Ursule,3607711433,sainteursule,Sainte-Ursule,51040
Louiseville,3607711434,louiseville,Louiseville,51015
Saint-Édouard-de-Maskinongé,3607711435,saintedouarddemaskinonge,Saint-Édouard-de-Maskinongé,51050
Saint-Justin,3607711436,saintjustin,Saint-Justin,51045
Maskinongé (municipalité),3607711437,maskinonge,Maskinongé,51008
Saint-Stanislas,3607711544,saintstanislas,Saint-Stanislas,92070
Saint-Narcisse,3607711545,saintnarcisse,Saint-Narcisse,37240
Sainte-Geneviève-de-Batiscan,3607711546,saintegenevievedebatiscan,Sainte-Geneviève-de-Batiscan,37215
Batiscan,3607711547,batiscan,Batiscan,37210
Saint-Luc-de-Vincennes,3607711548,saintlucdevincennes,Saint-Luc-de-Vincennes,37225
Champlain,3607711549,champlain,Champlain,37220
Saint-Maurice,3607711550,saintmaurice,Saint-Maurice,37230
Notre-Dame-du-Mont-Carmel,3607711551,notredamedumontcarmel,Notre-Dame-du-Mont-Carmel,37235
Shawinigan,3607711552,shawinigan,Shawinigan,36033
Trois-Rivières,3607711553,troisrivieres,Trois-Rivières,37067
Saint-Tite,3607715906,sainttite,Saint-Tite,35027
