nom,id,nom
Très-Saint-Sacrement,3607743221,tressaintsacrement
Saint-Chrysostome,3607743222,saintchrysostome
Havelock,3607743223,havelock
Franklin,3607743224,franklin
Ormstown,3607743225,ormstown
Hinchinbrooke,3607743226,hinchinbrooke
Huntingdon,3607743227,huntingdon
Elgin,3607743228,elgin
Sainte-Barbe,3607743229,saintebarbe
Godmanchester,3607743230,godmanchester
Saint-Anicet,3607743231,saintanicet
Dundee,3607743232,dundee
Beauharnois,3607765238,beauharnois
Saint-Urbain-Premier,3607765239,sainturbainpremier
Sainte-Martine,3607765240,saintemartine
Saint-Étienne-de-Beauharnois,3607765241,saintetiennedebeauharnois
Saint-Louis-de-Gonzague,3607765242,saintlouisdegonzague
Salaberry-de-Valleyfield,3607765243,salaberrydevalleyfield
Saint-Stanislas-de-Kostka,3607765244,saintstanislasdekostka
Napierville,3607785072,napierville
Saint-Cyprien-de-Napierville,3607785073,saintcypriendenapierville
Saint-Jacques-le-Mineur,3607785074,saintjacqueslemineur
Saint-Édouard,3607785075,saintedouard
Saint-Patrice-de-Sherrington,3607785076,saintpatricedesherrington
Saint-Bernard-de-Lacolle,3607785077,saintbernarddelacolle
Saint-Michel,3607785078,saintmichel
Saint-Rémi,3607785079,saintremi
Sainte-Clotilde,3607785080,sainteclotilde
Hemmingford (village),3607785081,hemmingford
Hemmingford (canton),3607785082,hemmingford
Candiac,3607785147,candiac
Sainte-Catherine,3607785148,saintecatherine
La Prairie,3607785149,laprairie
Delson,3607785150,delson
Saint-Philippe,3607785151,saintphilippe
Saint-Mathieu,3607785152,saintmathieu
Saint-Constant,3607785153,saintconstant
Saint-Isidore,3607785154,saintisidore
Châteauguay,3607785155,chateauguay
Mercier,3607785156,mercier
Léry,3607785157,lery
Sainte-Brigide-d'Iberville,3607820569,saintebrigidediberville
Mont-Saint-Grégoire,3607820570,montsaintgregoire
Saint-Alexandre,3607820571,saintalexandre
Saint-Sébastien,3607820572,saintsebastien
Saint-Valentin,3607820573,saintvalentin
Saint-Jean-Baptiste,3607903219,saintjeanbaptiste
Mont-Saint-Hilaire,3607903220,montsainthilaire
Saint-Charles-sur-Richelieu,3607903221,saintcharlessurrichelieu
Saint-Denis-sur-Richelieu,3607903222,saintdenissurrichelieu
Saint-Antoine-sur-Richelieu,3607903223,saintantoinesurrichelieu
Saint-Marc-sur-Richelieu,3607903224,saintmarcsurrichelieu
Otterburn Park,3607903225,otterburnpark
McMasterville,3607903226,mcmasterville
Beloeil,3607903227,beloeil
Saint-Mathieu-de-Beloeil,3607903228,saintmathieudebeloeil
Saint-Basile-le-Grand,3607903229,saintbasilelegrand
Chambly,3607903230,chambly
Carignan,3607903231,carignan
Contrecœur,3607903241,contrecoeur
Calixa-Lavallée,3607903242,calixalavallee
Verchères,3607903243,vercheres
Saint-Amable,3607903244,saintamable
Sainte-Julie,3607903245,saintejulie
Varennes,3607903246,varennes
Saint-Paul-d'Abbotsford,3607903249,saintpauldabbotsford
Ange-Gardien,3607903250,angegardien
Saint-Césaire,3607903251,saintcesaire
Rougemont,3607903252,rougemont
Sainte-Angèle-de-Monnoir,3607903253,sainteangeledemonnoir
Marieville,3607903254,marieville
Richelieu,3607903255,richelieu
Saint-Mathias-sur-Richelieu,3607903256,saintmathiassurrichelieu
Bolton-Ouest,3607926990,boltonouest
Abercorn,3607926991,abercorn
Sutton,3607926992,sutton
Brome,3607926993,brome
Lac-Brome,3607926994,lacbrome
Bromont,3607926995,bromont
Brigham,3607926996,brigham
East Farnham,3607926997,eastfarnham
Cowansville,3607926998,cowansville
Dunham,3607926999,dunham
Saint-Ignace-de-Stanbridge,3607927000,saintignacedestanbridge
Frelighsburg,3607927001,frelighsburg
Stanbridge East,3607927002,stanbridgeeast
Farnham,3607927003,farnham
Sainte-Sabine,3607927004,saintesabine
Notre-Dame-de-Stanbridge,3607927005,notredamedestanbridge
Bedford (Ville),3607927006,bedford
Bedford (Canton),3607927007,bedford
Stanbridge Station,3607927008,stanbridgestation
Pike River,3607927009,pikeriver
Saint-Joachim-de-Shefford,3607927016,saintjoachimdeshefford
Warden,3607927017,warden
Waterloo,3607927018,waterloo
Shefford,3607927019,shefford
Roxton Pond,3607927020,roxtonpond
Sainte-Cécile-de-Milton,3607927021,saintececiledemilton
Granby,3607927022,granby
Saint-Alphonse-de-Granby,3607927023,saintalphonsedegranby
Sainte-Hélène-de-Bagot,3607927117,saintehelenedebagot
Saint-Hugues,3607927118,sainthugues
Saint-Marcel-de-Richelieu,3607927119,saintmarcelderichelieu
Saint-Louis,3607927120,saintlouis
